ID,Tytuł,Autor,Data,Wynik (Punkty),Liczba_komentarzy,URL_Postu
47420922,"'Celebrate, we're watching from the sky' Netanyahu to protect Iranians on Nowruz",thomassmith65,2026-03-18 02:23:24,4.0,1.0,https://news.ycombinator.com/item?id=47420922
47258106,Douglas MacGregor Claims Netanyahu Draggin US into War [video],t23414321,2026-03-05 06:06:59,4.0,1.0,https://news.ycombinator.com/item?id=47258106
45668602,Netanyahu calls claims Israel is client state of Washington 'hogwash',NomDePlum,2025-10-22 13:13:11,4.0,0.0,https://news.ycombinator.com/item?id=45668602
39480158,Netanyahu Pushes for Indefinite Military Control over Gaza,hulahoof,2024-02-23 13:14:48,4.0,0.0,https://news.ycombinator.com/item?id=39480158
37562847,Elon Musk hits out at Soros foundation before meeting Israel’s Netanyahu,clouddrover,2023-09-18 22:15:09,4.0,0.0,https://news.ycombinator.com/item?id=37562847
22284421,App Used by Netanyahu's Likud Leaks Israel's Entire Voter Registry,yuvadam,2020-02-09 21:25:13,4.0,0.0,https://news.ycombinator.com/item?id=22284421
16893778,Portman’s V for Vendetta Against Netanyahu Touches Raw Nerve for Israel,piokuc,2018-04-21 22:46:18,4.0,0.0,https://news.ycombinator.com/item?id=16893778
37812316,Unthinkable security lapse on Netanyahu's watch,spzx,2023-10-08 17:06:59,3.0,2.0,https://news.ycombinator.com/item?id=37812316
10425335,"Netanyahu, Saying Palestinian Mufti Inspired Holocaust, Draws Broad Criticism",davidf18,2015-10-21 13:47:34,3.0,2.0,https://news.ycombinator.com/item?id=10425335
48105763,"Netanyahu, Israeli Pm, boasting he can easily paint anyone as a monster",juliusceasar,2026-05-12 08:44:01,3.0,1.0,https://news.ycombinator.com/item?id=48105763
35080429,March of the unicorns: Israel’s tech sector rebels against Netanyahu,myth_drannon,2023-03-09 12:06:28,3.0,1.0,https://news.ycombinator.com/item?id=35080429
9095842,Leaked cables show Netanyahu’s Iran bomb claim contradicted by Mossad,antr,2015-02-23 18:13:48,3.0,0.0,https://news.ycombinator.com/item?id=9095842
36697153,Benjamin Netanyahu interview on Lex Fridman Podcast #389 [video],Jimmc414,2023-07-12 16:30:41,3.0,0.0,https://news.ycombinator.com/item?id=36697153
28564630,Netanyahu reportedly offered lucrative Oracle board seat by Larry Ellison,olvy0,2021-09-17 12:26:46,3.0,0.0,https://news.ycombinator.com/item?id=28564630
20293167,Israeli AG investigating collusion between FB and Netanyahu on 2019 election,ealexhudson,2019-06-27 10:26:36,3.0,0.0,https://news.ycombinator.com/item?id=20293167
10607092,Spain ‘issues arrest warrant’ for Israeli PM Netanyahu over 2010 flotilla attack,bildung,2015-11-21 16:09:31,3.0,0.0,https://news.ycombinator.com/item?id=10607092
10430577,Germany tells Netanyahu: We are responsible for the Holocaust,ComputerGuru,2015-10-22 05:45:06,2.0,2.0,https://news.ycombinator.com/item?id=10430577
37561331,Israeli leader Netanyahu asks Elon Musk to condemn antisemitism on X,c420,2023-09-18 20:10:01,2.0,1.0,https://news.ycombinator.com/item?id=37561331
36865489,What’s happening in Israel? Protests over Netanyahu’s judicial overhaul,momirlan,2023-07-25 16:58:33,2.0,1.0,https://news.ycombinator.com/item?id=36865489
19158097,Giuliani Calls for Regime Change in Iran as Netanyahu Raises the Specter of War,yasp,2019-02-13 23:16:03,2.0,1.0,https://news.ycombinator.com/item?id=19158097
10586484,Spain issues arrest warrant for Netanyahu,dmichulke,2015-11-18 07:34:02,2.0,1.0,https://news.ycombinator.com/item?id=10586484
9218521,"I am Norman Finkelstein, I think Netanyahu is a maniac. AMA",01Michael10,2015-03-17 15:24:39,2.0,0.0,https://news.ycombinator.com/item?id=9218521
8105987,Leaked excerpts of Obama-Netanyahu Call,lmg643,2014-07-30 01:44:21,2.0,0.0,https://news.ycombinator.com/item?id=8105987
40033218,Strikes within Iran approved but called off following Biden/Netanyahu call,h2odragon,2024-04-14 18:29:43,2.0,0.0,https://news.ycombinator.com/item?id=40033218
39077834,Protesters call for change to Netanyahu government,cranberryturkey,2024-01-21 12:25:57,2.0,0.0,https://news.ycombinator.com/item?id=39077834
36905570,Exodus: The Israelis Planning Their Escape from Netanyahu’s Judicial Coup,keepamovin,2023-07-28 11:54:30,2.0,0.0,https://news.ycombinator.com/item?id=36905570
36199238,"After speaking to Musk and Altman, Netanyahu to set up national AI policy team",gmays,2023-06-05 16:56:08,2.0,0.0,https://news.ycombinator.com/item?id=36199238
30249243,Netanyahu trial delayed over claims police illegally deployed Pegasus,JumpCrisscross,2022-02-07 18:50:47,2.0,0.0,https://news.ycombinator.com/item?id=30249243
29966976,Faint echoes of Ford pardoning Nixon in possible Netanyahu plea deal,trifit,2022-01-17 14:44:46,2.0,0.0,https://news.ycombinator.com/item?id=29966976
27488351,Netanyahu will be replaced today with a new prime minister – Bennett,chagaif,2021-06-12 23:30:14,2.0,0.0,https://news.ycombinator.com/item?id=27488351
24654344,Facebook blocks “dictator” comments in hebrew on Netanyahu’s page,itaifrenkel,2020-10-01 18:19:33,2.0,0.0,https://news.ycombinator.com/item?id=24654344
21598806,"Netanyahu Charged with Bribery, Fraud and Breach of Trust, Capping Dramatic Year",e12e,2019-11-21 19:58:20,2.0,0.0,https://news.ycombinator.com/item?id=21598806
